tweet, sentiment_label
b'Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack https://t.co/jM2Z1ug4e2', Negative
b"Bernie Sanders calls Trump 'a sexist, a bigot and a homophobe' in searing attack: 'It's the damn truth'\xe2\x80\xa6 https://t.co/wW5KWbC4mS", Negative
b'RT @IndyUSA: Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack https://t.co/CpEnmXrkLZ', Negative
b'RT @Independent: Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack https://t.co/khITGpbkc8', Negative
b'@_Lewww This is like if Bernie Sanders said "where\'s the benefit of having a hole in a donut" and I responded "wher\xe2\x80\xa6 https://t.co/VJxBfuINQZ', Negative
b'RT @Independent: Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack https://t.co/khITGpbkc8', Negative
b'Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack https://t.co/M7WNbVrkTp', Negative
b'RT @Independent: Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack https://t.co/khITGpbkc8', Negative
b'Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack: \xe2\x80\x98It\xe2\x80\x99s the damn truth\xe2\x80\x99 https://t.co/w9RBpDC8XF', Negative
b'RT @IndyUSA: Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack https://t.co/CpEnmXrkLZ', Negative
b'RT @Independent: Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack https://t.co/khITGpbkc8', Negative
b'Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack https://t.co/CpEnmXrkLZ', Negative
b'RT @Independent: Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack https://t.co/khITGpbkc8', Negative
b'RT @Independent: Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack https://t.co/khITGpbkc8', Negative
b'RT @Independent: Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack https://t.co/khITGpbkc8', Negative
b'RT @Independent: Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack https://t.co/khITGpbkc8', Negative
b'RT @Independent: Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack https://t.co/khITGpbkc8', Negative
b'Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack https://t.co/cPhxd4MyNs', Negative
b'Bernie Sanders calls Trump \xe2\x80\x98a sexist, a bigot and a homophobe\xe2\x80\x99 in searing attack https://t.co/khITGpbkc8', Negative
b'Bernie Sanders calls Trump &amp;apos;a sexist, a bigot and a homophobe&amp;apos; in searing attack: &amp;apos;It&amp;apos;s the dam\xe2\x80\xa6 https://t.co/YipawLrkfp', Negative
b'@jaketapper Obama, Schumer, Hillary Clinton, etc. voted for the Secure Fence Act of 2006 (Bernie Sanders voted agai\xe2\x80\xa6 https://t.co/bHrW7PAwvW', Postive
b'@MattWatchGundam @WhiskersCrowley @AmandiOnAir @BernieSanders 700 miles is not a wall. There\xe2\x80\x99s barriers at the bord\xe2\x80\xa6 https://t.co/T6C7hkNNEp', Negative
b'@dcexaminer @TuckerCarlson @AOC The Dems are good at commenting on morality (green new deal) &amp; on immorality (Borde\xe2\x80\xa6 https://t.co/MViunGWApd', Postive
b'@mexopolis Let\xe2\x80\x99s overthrow the government, kill Trump, never speak of him, put Bernie Sanders in presidential posit\xe2\x80\xa6 https://t.co/MgLoyztjtB', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'@realDonaldTrump Democrats support the wall and border security. This is right out of the mouths of Joe Biden, Bern\xe2\x80\xa6 https://t.co/tIRctHwSzE', Postive
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b"@mlighty60 @SenSanders We're not kicking people off their insurance for Bernie Sanders' version of the Border Wall.\xe2\x80\xa6 https://t.co/0gQNq42J2H", Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
b'RT @RepMarkGreen: Even Obama\'s DHS Secretary Jeh Johnson said we have a crisis on our southern border... Meanwhile, Bernie Sanders says, "T\xe2\x80\xa6', Negative
