tweet, sentiment_label
b'RT @5_2blue: \xe2\x80\x9cTrump delivered remarks at a recently replaced two-mile section of border barrier in Calexico that is decidedly not, the AP p\xe2\x80\xa6', Negative
b'\xe2\x80\x9cTrump delivered remarks at a recently replaced two-mile section of border barrier in Calexico that is decidedly no\xe2\x80\xa6 https://t.co/WPAihrTJUF', Negative
b'Joe Biden jokes about inappropriate touching\xc2\xa0complaints \xe2\x80\x93 live Former vice-president makes joke at union event in W\xe2\x80\xa6 https://t.co/BsDFUln1tH', Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live https://t.co/ssxJwD6n7n", Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live https://t.co/AiVsagD03o", Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live https://t.co/d6MggVnIsK", Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 LIVE | US news | The Guardian - https://t.co/u4s11jJRct", Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live https://t.co/TzwAUgEZXr", Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live https://t.co/aHNoAX1lFS", Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live https://t.co/GpKDrZm9CO", Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live https://t.co/MATCOFr072", Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live https://t.co/UYqt0DS1mx https://t.co/cDcB9YDjis", Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live https://t.co/NbktAACv9k", Postive
b"RT @SoCalWoman: Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live | US news | The Guardian https://t.co/hBYYZqTHwQ", Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live | US news | The Guardian https://t.co/gaQ7D3V16l", Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live https://t.co/tpBXT480nH", Postive
b"RT @SoCalWoman: Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live | US news | The Guardian https://t.co/hBYYZqTHwQ", Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live \nhttps://t.co/QsJv8UehrM", Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live | US news | The Guardian https://t.co/hBYYZqTHwQ", Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93  https://t.co/N2hBUE7KE7", Negative
b"\xe2\x80\x9c20 STATES move to BLOCK funding for Trump's border wall.  Motion challenges Trump\xe2\x80\x99s use of a \xe2\x80\x98national emergency\xe2\x80\x99\xe2\x80\xa6 https://t.co/fw04318YOI", Negative
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live https://t.co/itcgzv7ZUK", Postive
b"RT @stewardmagazine: Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live https://t.co/UZ8ANVXALe #MAGA #METOO #Veteran", Postive
b"RT @stewardmagazine: Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live https://t.co/UZ8ANVXALe #MAGA #METOO #Veteran", Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live https://t.co/kVkSuReDjH", Postive
b"Twenty states move to block funding for Trump's border wall \xe2\x80\x93 live https://t.co/UZ8ANVXALe #MAGA #METOO #Veteran", Postive
b'@Romee50093687 @ewarren Elizabeth Warren does not know that the Southern Border is being invaded, her and the other\xe2\x80\xa6 https://t.co/msbJ7Bj79T', Negative
b'RT @brengale: @chunga1958 @PALOMAFORTRUMP I  doubt it some have come to the border Elizabeth Warren but she went where there was a wall wha\xe2\x80\xa6', Negative
b'@chunga1958 @PALOMAFORTRUMP I  doubt it some have come to the border Elizabeth Warren but she went where there was\xe2\x80\xa6 https://t.co/8vk1rJeAK0', Negative
b"'We\xe2\x80\x99ve never seen anything like this': As Trump threatens to close border, migrants overwhelm Texas cities\xe2\x80\xa6 https://t.co/wD7Y6WEgH9", Negative
