tweet, sentiment_label
b'RT @Independent: Trump arrives in at California border - follow live https://t.co/HS1GFjmOjT https://t.co/XDYZZVJCOS', Postive
b'RT @Independent: Trump speaks at the border in California border - follow live https://t.co/vEmRtg8yel https://t.co/EIGNLJAgtU', Postive
b'RT @Independent: Trump arrives in California - follow live https://t.co/YEWQMrW7ne https://t.co/a7dZ7tVEQm', Postive
b'RT @Independent: Trump arrives in at California border - follow live https://t.co/HS1GFjmOjT https://t.co/XDYZZVJCOS', Postive
b'RT @Independent: Trump speaks at the border in California border - follow live https://t.co/vEmRtg8yel https://t.co/EIGNLJAgtU', Postive
b'RT @Independent: Trump implies he will shut down asylum process during California border visit https://t.co/IWgxprM4x8 https://t.co/sZoWOgt\xe2\x80\xa6', Negative
b'RT @Independent: Trump implies he will shut down asylum process during California border visit https://t.co/IWgxprM4x8 https://t.co/sZoWOgt\xe2\x80\xa6', Negative
b'Trump implies he will shut down asylum process during California border visit https://t.co/V8pVtFlna9 https://t.co/5oejVn02l2', Negative
b'Trump implies he will shut down asylum process during California border visit https://t.co/IWgxprM4x8 https://t.co/sZoWOgtvkf', Negative
b'https://t.co/PBSqKQuVYG', Negative
b'Dead men tell no tales. Motorhead and Lemmy. Trump attacks another dead Republican icon as Biden hits back over pre\xe2\x80\xa6 https://t.co/ztEbdge8M6', Negative
b'Trump speaks at the border in California border - follow live https://t.co/vEmRtg8yel https://t.co/EIGNLJAgtU', Postive
b'RT @Independent: Trump arrives in at California border - follow live https://t.co/HS1GFjmOjT https://t.co/XDYZZVJCOS', Postive
b'RT @Independent: Trump arrives in at California border - follow live https://t.co/HS1GFjmOjT https://t.co/XDYZZVJCOS', Postive
b'Trump arrives in at California border - follow live https://t.co/HS1GFjmOjT https://t.co/XDYZZVJCOS', Postive
b"Trump attacks another dead Republican icon as Biden hits back over president's bizarre video tweet - follow live https://t.co/5TK2ks9Uoi", Postive
b'Trump arrives in California - follow live https://t.co/YEWQMrW7ne https://t.co/a7dZ7tVEQm', Postive
b"Trump attacks another dead Republican icon as Biden hits back over president's bizarre video tweet - follow live https://t.co/gCvHCRUWR5", Postive
b'@JoeBiden as long as we get a border wall, conservative judges, and a great economy, trump can tweet anything he wa\xe2\x80\xa6 https://t.co/9zNJhPVEr8', Postive
b"Trump attacks another dead Republican icon as Biden hits back over president's bizarre video tweet - follow live https://t.co/Bny7YO9V1u", Postive
b"Trump attacks another dead Republican icon as Biden hits back over president's bizarre video tweet - follow live https://t.co/jWL7vI1xge", Postive
b'RT @BerniesBack2020: @EdKrassen @JoeBiden @BetoORourke @KamalaHarris @PeteButtigieg @amyklobuchar Which of these policies Joe Biden voted f\xe2\x80\xa6', Negative
b'Trump visits border in California - follow live https://t.co/rhfqYjDfOw', Postive
b'Trump visits border in California - follow live https://t.co/nWPOJbOnea', Postive
b"Trump attacks another dead Republican icon as Biden hits back over president's bizarre video tweet - follow live https://t.co/6er8D4gcKf", Postive
b'RT @BerniesBack2020: @EdKrassen @JoeBiden @BetoORourke @KamalaHarris @PeteButtigieg @amyklobuchar Which of these policies Joe Biden voted f\xe2\x80\xa6', Negative
b'Joe Biden jokes about inappropriate touching\xc2\xa0complaints \xe2\x80\x93 live Former vice-president makes joke at union event in W\xe2\x80\xa6 https://t.co/BsDFUln1tH', Postive
b'@EdKrassen @JoeBiden @BetoORourke @KamalaHarris @PeteButtigieg @amyklobuchar Which of these policies Joe Biden vote\xe2\x80\xa6 https://t.co/WStAPXByKn', Negative
b"Trump 'not going to the White House Correspondents' Dinner' https://t.co/VH2jEZEHQR", Negative
b"Trump attacks another dead Republican icon as Biden hits back over president's bizarre video tweet - follow live https://t.co/uKYCjp0DLq", Postive
b"RT @Independent: Trump 'not going to the White House Correspondents' Dinner' https://t.co/NsCdV2RBm3", Negative
b"RT @Independent: Trump 'not going to the White House Correspondents' Dinner' https://t.co/NsCdV2RBm3", Negative
b"RT @Independent: Trump 'not going to the White House Correspondents' Dinner' https://t.co/NsCdV2RBm3", Negative
b"RT @Independent: Trump 'not going to the White House Correspondents' Dinner' https://t.co/NsCdV2RBm3", Negative
b"Trump 'not going to the White House Correspondents' Dinner' https://t.co/NsCdV2RBm3", Negative
b"Trump attacks another dead Republican icon as Biden hits back over president's bizarre video tweet - follow live https://t.co/qfxRfTlcoj", Postive
b'Trump news \xe2\x80\x93 live: Joe Biden hits back after president tweets doctored video of him as pressure mounts for Mueller\xe2\x80\xa6 https://t.co/QVj5puUUHG', Postive
b'@realDonaldTrump @FLOTUS @WhiteHouse And the world laughs at spanky again.https://t.co/0HI2EhlBrk', Negative
b"Trump attacks another dead Republican icon as Biden hits back over president's bizarre video tweet - follow live https://t.co/LWmHrZnxaS", Postive
b'RT @samieyani: Joe Biden hits back after Trump tweets doctored video of him as pressure mounts for Mueller report release - follow live htt\xe2\x80\xa6', Postive
b'The Independent: Trump news \xe2\x80\x93 live: President attacks another dead Republican icon as Biden hits back over bizarre\xe2\x80\xa6 https://t.co/nmjEOKkBxJ', Negative
b'@realDonaldTrump attacked by Barbra Bush (https://t.co/uEpq7AiLks) in book (for causing her heart condition) then h\xe2\x80\xa6 https://t.co/ebY51fupQu', Negative
b'1/...Well Trump as once again shown what a disgrace he is....POTUS and Commander in  Chief....not BRAVE enough to f\xe2\x80\xa6 https://t.co/vMPsNi2Rjt', Postive
b'RT @BerniesBack2020: @Morning_Joe @Peggynoonannyc Plenty of reasons to oppose Biden. He voted for:\n\n- Iraq War\n- Bankruptcy Bill\n- Bank Der\xe2\x80\xa6', Negative
b'@KathyLaGullo @Morning_Joe @JoeNBC @mikebarnicle @Peggynoonannyc @JoeBiden Plenty of reasons to oppose Biden. He vo\xe2\x80\xa6 https://t.co/owH2l5LhY3', Negative
b'@Morning_Joe @Peggynoonannyc Plenty of reasons to oppose Biden. He voted for:\n\n- Iraq War\n- Bankruptcy Bill\n- Bank\xe2\x80\xa6 https://t.co/TWd7ZSuX2o', Negative
b'Media sucks. This tweet was funny. #MAGA\n\nhttps://t.co/8OZ73vSnHR', Negative
b"Could someone in the White House get @realDonaldTrump his meds? He's shutting the border then he isn't, he is claim\xe2\x80\xa6 https://t.co/l4d5LaiNOD", Negative
